inlet pressure [Pa],outlet pressure [Pa],inlet oil flowrate [m3/s],outlet oil flowrate [m3/s],inlet gas flowrate [m3/s],outlet gas flowrate [m3/s],inlet water flowrate [m3/s],outlet water flowrate [m3/s],inlet holdup [-],outlet holdup [-]
1526477.6052939226,872789.8329279014,0.0474265597013216,0.047778851978359134,0.1262614090686073,0.2773788163657341,0.019178573071494277,0.019881807057670797,0.424628237116665,0.2735943926184895
4503758.101464475,904459.5206491242,0.15876801211407765,0.14618256347891698,0.05335045841744743,0.45053241711535097,0.06232301908541671,0.06334687984593891,0.7867543855229815,0.36537598930661913
5002433.929840675,1198630.1761589618,0.17353381797470743,0.1681223009195662,0.02964618524341969,0.39336298663630054,0.06720139469204832,0.07042812645290515,0.8544352211008657,0.40402245445383256
4810143.786577921,1036531.8448311691,0.17737609824745643,0.16666768779651508,0.024040412444837095,0.4549753807765846,0.069722348518362,0.07076567987396776,0.8736285384436608,0.37398560173672163
3592046.80528803,1331547.6540839472,0.11627172043752922,0.109359196294929,0.05935290217658798,0.27070037807515596,0.045010584395180964,0.04437641913227614,0.6890493162107549,0.4142812487100077
3581004.5154956174,1082248.8618729338,0.11736810186802044,0.11524772198031734,0.07530861850896046,0.375040044542284,0.04666485492106096,0.04723020323553113,0.7104892560894502,0.34376073622683273
1961172.933674993,498897.6923104043,0.0702731384049653,0.06420321434678007,0.11025810614671525,0.42119802053699656,0.030082003858542938,0.028445052563301702,0.5180597156114706,0.24066250826823754
5024756.874297011,1197791.044902042,0.18038251712466075,0.16288945363368576,0.03565974877561686,0.42697819030880485,0.07066922969611718,0.0689356687270994,0.8829907224258727,0.3642645594813988
4276860.897285178,768919.101038259,0.15904261146703738,0.15623538048700567,0.04405258928426436,0.6146492613537898,0.06414207860123305,0.06561808407863717,0.7941072123509979,0.30710347034827423
2206632.128890792,1199644.871183238,0.062208056115620934,0.06247264214728279,0.07008621537556599,0.20423475219539686,0.02512470007760418,0.02461095628721255,0.5460497538128525,0.4010168737159337
4856549.774804275,1143396.0129072806,0.1695304466814854,0.16723301005196628,0.050421868585158736,0.43169473190383095,0.06923131233436228,0.07014926759215284,0.8591134946915426,0.37987738029634865
2272859.026502959,1427287.679480332,0.0604478404147341,0.05957664462267714,0.08966345291373164,0.15177862888410343,0.02685435711929046,0.02589198852792986,0.576452886971831,0.4161486142571735
4445387.089554313,658782.0185345553,0.16907338072863953,0.15789929085242285,0.047000238415328965,0.6381520103082496,0.06572673528598105,0.06713023094496581,0.8265223146536037,0.3252675855603209
4067611.627002414,559094.3659092848,0.14952699846630518,0.13825383506088745,0.03952088402341447,0.6514234777023955,0.057054109981565265,0.058798527168881634,0.7642033342254726,0.2974607903626805
3724603.3906571274,490867.1177461743,0.1299500304622736,0.12187178852998727,0.07970660126552293,0.6461600461954832,0.052218963778661,0.05313141586110695,0.7082743628596694,0.2626929242431187
4390790.049615555,722775.2497605727,0.16707741363336617,0.15731347397098075,0.062337225471094236,0.5662942974261724,0.06618780316058358,0.06467303080093427,0.8120700804206014,0.3123606348962661
1758365.893446714,1250655.3571898062,0.05197588979054064,0.05288182412492389,0.07821676482807072,0.14173426940314776,0.019603852516740558,0.01795089523992055,0.5065714587597419,0.39438502527058816
4124720.306426577,1161937.3188706576,0.14338803972668093,0.13570453119164472,0.06309654597193495,0.4411829850896239,0.056600487595180916,0.056810385827380044,0.771673376205578,0.3577578735434259
